#geneid	family	symbol	taxid	contig	orient	start	end
51742	51746	ARID4B	9606	NC_000001.9	+	233396834	233558122
51744	0	CD244	9606	NC_000001.9	+	159066573	159099268
54112	0	GPR88	9606	NC_000001.9	+	100776280	100780158
54206	0	ERRFI1	9606	NC_000001.9	+	7994380	8008942
54344	0	DPM3	9606	NC_000001.9	+	153378990	153379619
54361	49784	WNT4	9606	NC_000001.9	+	22318785	22342196
54432	50805	YIPF1	9606	NC_000001.9	+	54089993	54128040
54455	0	FBXO42	9606	NC_000001.9	+	16449145	16551534
54460	51118	MRPS21	9606	NC_000001.9	+	148532892	148547442
54482	0	CCDC76	9606	NC_000001.9	+	100371306	100388640
54499	0	TMCO1	9606	NC_000001.9	+	163963130	164004711
54507	0	ADAMTSL4	9606	NC_000001.9	+	148788521	148800036
54530	0	FLJ20054	9606	NC_000001.9	+	195745379	195788864
54544	0	CRCT1	9606	NC_000001.9	+	150753601	150755104
54546	0	RNF186	9606	NC_000001.9	+	20013108	20014357
54558	0	SPATA6	9606	NC_000001.9	+	48536864	48710431
54583	0	EGLN1	9606	NC_000001.9	+	229568053	229627412
54587	0	MXRA8	9606	NC_000001.9	+	1277933	1283777
54596	0	L1TD1	9606	NC_000001.9	+	62433123	62449813
54626	0	HES2	9606	NC_000001.9	+	6397882	6402565
54627	54097	KIAA1383	9606	NC_000001.9	+	231007260	231012714
54665	0	RSBN1	9606	NC_000001.9	+	114105976	114156592
54680	0	C1orf181	9606	NC_000001.9	+	85891078	85946688
54707	51648	ATPBD1B	9606	NC_000001.9	+	27078459	27089455
54741	50590	LEPROT	9606	NC_000001.9	+	65658906	65670851
54751	53135	FBLIM1	9606	NC_000001.9	+	15957841	15985670
54797	0	MED18	9606	NC_000001.9	+	28528135	28535062
54802	0	TRIT1	9606	NC_000001.9	+	40079314	40121763
54810	50131	GIPC2	9606	NC_000001.9	+	78284176	78375699
54823	0	C1orf26	9606	NC_000001.9	+	183392913	183527442
54834	0	GDAP2	9606	NC_000001.9	+	118213559	118273728
54855	50716	FAM46C	9606	NC_000001.9	+	117950126	117972508
54856	0	GON4L	9606	NC_000001.9	+	153986133	154093595
54865	52289	GPATCH4	9606	NC_000001.9	+	154830902	154837893
54873	0	PALMD	9606	NC_000001.9	+	99884181	99932846
54874	50899	FNBP1L	9606	NC_000001.9	+	93727340	93792805
54879	50937	ST7L	9606	NC_000001.9	+	112867662	112963562
54896	53931	PQLC2	9606	NC_000001.9	+	19511326	19528380
54897	0	CASZ1	9606	NC_000001.9	+	10619764	10621137
54900	0	LAX1	9606	NC_000001.9	+	202000959	202012122
54933	0	RHBDL2	9606	NC_000001.9	+	39124065	39180042
54935	0	DUSP23	9606	NC_000001.9	+	158017382	158018956
54936	0	ADPRHL2	9606	NC_000001.9	+	36327072	36332119
54952	0	TRSPAP1	9606	NC_000001.9	+	28752191	28777637
54953	0	C1orf27	9606	NC_000001.9	+	184611623	184657125
54955	0	C1orf109	9606	NC_000001.9	+	37919828	37928778
54964	0	C1orf56	9606	NC_000001.9	+	149286882	149290519
54973	0	CPSF3L	9606	NC_000001.9	+	1236841	1249912
54987	0	C1orf123	9606	NC_000001.9	+	53452358	53458876
54991	0	C1orf159	9606	NC_000001.9	+	1007067	1041331
54996	52185	MOSC2	9606	NC_000001.9	+	218988298	219024221
54998	0	AURKAIP1	9606	NC_000001.9	+	1298972	1300442
55001	0	TTC22	9606	NC_000001.9	+	55022811	55039458
55052	51965	MRPL20	9606	NC_000001.9	+	1327158	1332523
55057	0	AIM1L	9606	NC_000001.9	+	26520958	26553207
55061	0	SUSD4	9606	NC_000001.9	+	221460783	221604096
55083	54108	KIF26B	9606	NC_000001.9	+	243384909	243934128
55092	0	TMEM51	9606	NC_000001.9	+	15352815	15419458
55103	50560	RALGPS2	9606	NC_000001.9	+	176960922	177152467
55105	0	GPATCH2	9606	NC_000001.9	+	215670456	215871031
55108	0	BSDC1	9606	NC_000001.9	+	32603358	32632613
55113	0	XKR8	9606	NC_000001.9	+	28159090	28167190
55116	0	TMEM39B	9606	NC_000001.9	+	32311115	32341051
55119	0	PRPF38B	9606	NC_000001.9	+	109036660	109045685
55127	0	HEATR1	9606	NC_000001.9	+	234780593	234834436
55143	0	CDCA8	9606	NC_000001.9	+	37930745	37947977
55144	51495	LRRC8D	9606	NC_000001.9	+	90060100	90174147
55154	52482	MSTO1	9606	NC_000001.9	+	153846630	153851381
55157	0	DARS2	9606	NC_000001.9	+	172060580	172094304
55160	53050	ARHGEF10L	9606	NC_000001.9	+	17738916	17896956
55170	0	PRMT6	9606	NC_000001.9	+	107400931	107403436
55182	0	C1orf164	9606	NC_000001.9	+	44643546	44889982
55187	52959	VPS13D	9606	NC_000001.9	+	12212699	12494685
55194	0	C1orf78	9606	NC_000001.9	+	36560218	36562341
55204	51654	GOLPH3L	9606	NC_000001.9	+	148885329	148936256
55210	52616	ATAD3A	9606	NC_000001.9	+	1437417	1459926
55219	0	TMEM57	9606	NC_000001.9	+	25630005	25698515
55220	50697	KLHDC8A	9606	NC_000001.9	+	203572270	203592661
55223	49794	TRIM62	9606	NC_000001.9	+	33383590	33419853
55224	0	ETNK2	9606	NC_000001.9	+	202366813	202387644
55225	0	RAVER2	9606	NC_000001.9	+	64983365	65071499
55229	0	PANK4	9606	NC_000001.9	+	2429834	2447894
55243	0	KIRREL	9606	NC_000001.9	+	156229686	156332469
55248	0	C1orf75	9606	NC_000001.9	+	210603895	210654859
55249	51586	YY1AP1	9606	NC_000001.9	+	153895868	153925414
55268	0	ECHDC2	9606	NC_000001.9	+	53134492	53159985
55277	0	FLJ10986	9606	NC_000001.9	+	59535327	60000986
55283	50802	MCOLN3	9606	NC_000001.9	+	85256352	85286756
55356	0	SLC22A15	9606	NC_000001.9	+	116320641	116413547
55432	0	YOD1	9606	NC_000001.9	+	205283816	205291044
55450	51230	CAMK2N1	9606	NC_000001.9	+	20682518	20684858
55509	0	SNFT	9606	NC_000001.9	+	210926382	210939949
55532	0	SLC30A10	9606	NC_000001.9	+	218154228	218168615
55585	52105	UBE2Q1	9606	NC_000001.9	+	152787676	152797743
55599	0	RNPC3	9606	NC_000001.9	+	103893838	103899383
55600	51389	ITLN1	9606	NC_000001.9	+	159112953	159121583
55616	51488	DDEFL1	9606	NC_000001.9	+	23627642	23683257
55624	0	POMGNT1	9606	NC_000001.9	+	46426941	46436684
55629	0	PNRC2	9606	NC_000001.9	+	24158916	24162517
55631	0	LRRC40	9606	NC_000001.9	+	70383084	70443862
55635	51846	DEPDC1	9606	NC_000001.9	+	68713525	68735294
55650	0	PIGV	9606	NC_000001.9	+	26987072	26997473
55657	0	ZNF692	9606	NC_000001.9	+	247110827	247119893
55672	0	NBPF1	9606	NC_000001.9	+	16763000	16812568
55699	0	IARS2	9606	NC_000001.9	+	218334077	218388005
55700	0	MAP7D1	9606	NC_000001.9	+	36394389	36419027
55705	0	IPO9	9606	NC_000001.9	+	200064960	200111804
55706	0	TMEM48	9606	NC_000001.9	+	54005975	54076762
55707	50691	NECAP2	9606	NC_000001.9	+	16639819	16659159
55721	0	IQCC	9606	NC_000001.9	+	32443858	32446874
55732	0	C1orf112	9606	NC_000001.9	+	168031173	168088852
55733	0	HHAT	9606	NC_000001.9	+	208568919	208916260
55735	0	DNAJC11	9606	NC_000001.9	+	6616817	6684459
55740	0	ENAH	9606	NC_000001.9	+	223741156	223907467
55746	0	NUP133	9606	NC_000001.9	+	227643666	227710710
55758	50707	RCOR3	9606	NC_000001.9	+	209499948	209556199
55765	0	C1orf106	9606	NC_000001.9	+	199127291	199151485
55791	0	C1orf103	9606	NC_000001.9	+	111291334	111308088
55793	0	FAM63A	9606	NC_000001.9	+	149234172	149245956
55811	0	SAC	9606	NC_000001.9	+	166045505	166149963
55827	53117	IQWD1	9606	NC_000001.9	+	166172531	166311704
55870	0	ASH1L	9606	NC_000001.9	+	153573367	153798776
55891	0	LENEP	9606	NC_000001.9	+	153232685	153233414
55917	0	CTTNBP2NL	9606	NC_000001.9	+	112740382	112803738
55920	0	RCC2	9606	NC_000001.9	+	17605865	17638806
55924	50752	C1orf183	9606	NC_000001.9	+	112069892	112099941
55929	50979	DMAP1	9606	NC_000001.9	+	44451711	44458937
55966	0	AJAP1	9606	NC_000001.9	+	4614964	4743709
55970	49954	GNG12	9606	NC_000001.9	+	67939809	68071695
55974	0	RAG1AP1	9606	NC_000001.9	+	153374949	153377950
56063	0	C1orf91	9606	NC_000001.9	+	32452665	32460534
56181	0	FAM54B	9606	NC_000001.9	+	26019270	26032015
56256	0	SERTAD4	9606	NC_000001.9	+	208472817	208483082
56267	53012	CCBL2	9606	NC_000001.9	+	89174043	89231103
56605	50482	ERO1LB	9606	NC_000001.9	+	234447082	234511907
56776	0	FMN2	9606	NC_000001.9	+	238321603	238705111
56833	0	SLAMF8	9606	NC_000001.9	+	158063224	158073905
56882	50781	CDC42SE1	9606	NC_000001.9	+	149290070	149298748
56893	50685	UBQLN4	9606	NC_000001.9	+	154271715	154290139
56900	50801	C1orf119	9606	NC_000001.9	+	109434925	109441076
56944	50772	OLFML3	9606	NC_000001.9	+	114323552	114326397
56950	50773	SMYD2	9606	NC_000001.9	+	212521198	212577096
56956	52152	LHX9	9606	NC_000001.9	+	196148257	196165895
56957	50769	OTUD7B	9606	NC_000001.9	+	148181958	148249152
56997	0	CABC1	9606	NC_000001.9	+	225194611	225241866
56998	50779	CTNNBIP1	9606	NC_000001.9	+	9830920	9892902
57035	0	C1orf63	9606	NC_000001.9	+	25441326	25446571
57085	53940	AGTRAP	9606	NC_000001.9	+	11718728	11733414
57095	0	C1orf128	9606	NC_000001.9	+	23977469	23987308
57111	0	RAB25	9606	NC_000001.9	+	154297605	154306871
57115	51293	PGLYRP4	9606	NC_000001.9	+	151569219	151587645
57116	52219	ZNF695	9606	NC_000001.9	+	245175486	245237945
57127	49596	RHBG	9606	NC_000001.9	+	154605626	154621634
57134	50278	MAN1C1	9606	NC_000001.9	+	25816545	25983527
57147	51973	SCYL3	9606	NC_000001.9	+	168088853	168129660
57165	49296	GJA12	9606	NC_000001.9	+	226404175	226414149
57172	51161	CAMK1G	9606	NC_000001.9	+	207823667	207853906
57185	0	NPAL3	9606	NC_000001.9	+	24614902	24671996
57190	0	SEPN1	9606	NC_000001.9	+	25999253	26017299
57198	0	ATP8B2	9606	NC_000001.9	+	152564659	152590403
57212	0	KIAA0495	9606	NC_000001.9	+	3643572	3653049
57216	51577	VANGL2	9606	NC_000001.9	+	158636987	158665087
57234	0	FAM91A2	9606	NC_000001.9	+	147872320	147883409
57238	52639	KIAA0492	9606	NC_000001.9	+	172252203	172258815
57326	0	PBXIP1	9606	NC_000001.9	+	153183179	153195190
57402	49646	S100A14	9606	NC_000001.9	+	151853354	151855413
57449	0	PLEKHG5	9606	NC_000001.9	+	6449459	6502655
57459	0	GATAD2B	9606	NC_000001.9	+	152045728	152067447
57463	52247	AMIGO1	9606	NC_000001.9	+	109850968	109853826
57470	0	LRRC47	9606	NC_000001.9	+	3686643	3702927
57489	0	ODF2L	9606	NC_000001.9	+	86587007	86634590
57530	0	CGN	9606	NC_000001.9	+	149750499	149777791
57535	0	KIAA1324	9606	NC_000001.9	+	109458055	109547376
57540	53240	PTCHD2	9606	NC_000001.9	+	11461316	11520226
57549	0	IGSF9	9606	NC_000001.9	+	158163454	158182009
57554	0	LRRC7	9606	NC_000001.9	+	69998445	70360513
57568	50563	SIPA1L2	9606	NC_000001.9	+	230600336	230717058
57576	0	KIF17	9606	NC_000001.9	+	20863095	20917096
57592	0	ZNF687	9606	NC_000001.9	+	149521414	149531004
57643	53998	ZSWIM5	9606	NC_000001.9	+	45254653	45445491
57645	0	POGK	9606	NC_000001.9	+	165075347	165090332
57648	0	KIAA1522	9606	NC_000001.9	+	33003854	33013157
57657	52428	HCN3	9606	NC_000001.9	+	153513997	153526261
57685	0	CACHD1	9606	NC_000001.9	+	64744185	64931323
57708	52694	MIER1	9606	NC_000001.9	+	67163229	67226300
57710	54068	KIAA1614	9606	NC_000001.9	+	179148947	179184717
57729	0	KIAA1639	9606	NC_000001.9	+	226616811	226633118
57795	50474	FAM5B	9606	NC_000001.9	+	175407255	175518180
57801	0	HES4	9606	NC_000001.9	+	924206	925332
57821	0	C1orf114	9606	NC_000001.9	+	167630737	167663293
57822	51033	GRHL3	9606	NC_000001.9	+	24518467	24554394
57823	0	SLAMF7	9606	NC_000001.9	+	158975700	158991224
57829	0	ZP4	9606	NC_000001.9	+	236112332	236120557
57863	50874	CADM3	9606	NC_000001.9	+	157408043	157438425
58155	49558	PTBP2	9606	NC_000001.9	+	96959965	97052936
58480	49454	RHOU	9606	NC_000001.9	+	226937491	226949033
58497	0	PRUNE	9606	NC_000001.9	+	149247596	149274812
58511	49220	DNASE2B	9606	NC_000001.9	+	84636802	84653278
58512	51480	DLGAP3	9606	NC_000001.9	+	35103623	35143570
58985	0	IL22RA1	9606	NC_000001.9	+	24318847	24342197
59269	0	HIVEP3	9606	NC_000001.9	+	41748271	42156755
59349	49455	KLHL12	9606	NC_000001.9	+	201126852	201162993
59352	49333	LGR6	9606	NC_000001.9	+	200429740	200555511
60313	0	GPBP1L1	9606	NC_000001.9	+	45865566	45899397
60484	49184	HAPLN2	9606	NC_000001.9	+	154855709	154862140
60672	0	RP5-1077B9.4	9606	NC_000001.9	+	12002098	12014692
60674	0	GAS5	9606	NC_000001.9	+	172099661	172103747
60676	51809	PAPPA2	9606	NC_000001.9	+	174698929	175078594
63036	49063	ELA2A	9606	NC_000001.9	+	15655810	15671169
63827	0	BCAN	9606	NC_000001.9	+	154878363	154895943
63906	0	GPATCH3	9606	NC_000001.9	+	27089566	27099543
63923	50296	TNN	9606	NC_000001.9	+	173303616	173383824
63931	0	MRPS14	9606	NC_000001.9	+	173249750	173259183
63948	0	DMRTB1	9606	NC_000001.9	+	53697659	53705745
63950	0	DMRTA2	9606	NC_000001.9	+	50655809	50659795
63967	0	CLSPN	9606	NC_000001.9	+	35974404	36008137
63976	52097	PRDM16	9606	NC_000001.9	+	2975603	3345044
64064	49870	OXCT2	9606	NC_000001.9	+	40007783	40009606
64121	50867	RRAGC	9606	NC_000001.9	+	39077591	39097926
64123	52847	ELTD1	9606	NC_000001.9	+	79128036	79279104
64129	50928	TINAGL1	9606	NC_000001.9	+	31814746	31825873
64163	0	IFRG15	9606	NC_000001.9	+	178100538	178100933
64173	0	SPATA1	9606	NC_000001.9	+	84744600	84791367
64175	51668	LEPRE1	9606	NC_000001.9	+	42984632	43005269
64216	0	TFB2M	9606	NC_000001.9	+	244770488	244796185
64218	51667	SEMA4A	9606	NC_000001.9	+	154390011	154414158
64222	0	TOR3A	9606	NC_000001.9	+	177317845	177331752
64326	51628	RFWD2	9606	NC_000001.9	+	174180589	174442992
64388	50431	GREM2	9606	NC_000001.9	+	238719495	238842084
64407	0	RGS18	9606	NC_000001.9	+	190394214	190421567
64600	49510	PLA2G2F	9606	NC_000001.9	+	20338405	20349458
64645	52480	HIAT1	9606	NC_000001.9	+	100276376	100321520
64710	0	NUCKS1	9606	NC_000001.9	+	203953731	203985915
64744	51613	SMAP1L	9606	NC_000001.9	+	40612314	40661580
64746	0	ACBD3	9606	NC_000001.9	+	224399002	224441045
64754	50773	SMYD3	9606	NC_000001.9	+	243979266	244647333
64756	0	ATPAF1	9606	NC_000001.9	+	46873297	46906614
64757	52185	MOSC1	9606	NC_000001.9	+	219026893	219054352
64766	53104	S100PBP	9606	NC_000001.9	+	33055762	33097062
64769	0	C1orf149	9606	NC_000001.9	+	37730762	37752950
64783	52771	RBM15	9606	NC_000001.9	+	110683467	110690825
64789	0	C1orf176	9606	NC_000001.9	+	40747019	40754814
64793	0	CCDC21	9606	NC_000001.9	+	26433279	26477885
64801	0	ARV1	9606	NC_000001.9	+	229181445	229203101
64802	51522	NMNAT1	9606	NC_000001.9	+	9926073	9966313
64834	50910	ELOVL1	9606	NC_000001.9	+	43601658	43606285
64853	50960	C1orf80	9606	NC_000001.9	+	220908450	220952438
64856	0	VWA1	9606	NC_000001.9	+	1360771	1366008
64858	0	DCLRE1B	9606	NC_000001.9	+	114249560	114258216
64960	0	MRPS15	9606	NC_000001.9	+	36693959	36702555
65005	0	MRPL9	9606	NC_000001.9	+	149998746	150002663
65018	0	PINK1	9606	NC_000001.9	+	20832534	20850590
65094	0	JMJD4	9606	NC_000001.9	+	225985557	225989734
65108	0	MARCKSL1	9606	NC_000001.9	+	32572026	32574409
65121	50200	PRAMEF1	9606	NC_000001.9	+	12774132	12778809
65122	50200	PRAMEF2	9606	NC_000001.9	+	12839527	12844350
65123	0	INTS3	9606	NC_000001.9	+	151967190	152013178
65220	0	NADK	9606	NC_000001.9	+	1672530	1699768
65243	49788	ZNF643	9606	NC_000001.9	+	40688365	40701938
65260	0	C1orf163	9606	NC_000001.9	+	52925101	52936625
65979	0	PHACTR4	9606	NC_000001.9	+	28637268	28699406
79000	0	C1orf135	9606	NC_000001.9	+	26033083	26058434
79005	0	SCNM1	9606	NC_000001.9	+	149405140	149408237
79033	0	PRNPIP	9606	NC_000001.9	+	44459328	44593525
79078	0	C1orf50	9606	NC_000001.9	+	43005526	43013997
79084	0	WDR77	9606	NC_000001.9	+	111784034	111793352
79098	0	C1orf116	9606	NC_000001.9	+	205258491	205272714
79140	0	CCDC28B	9606	NC_000001.9	+	32438820	32443574
79169	0	C1orf35	9606	NC_000001.9	+	226355050	226357644
79180	51551	EFHD2	9606	NC_000001.9	+	15609027	15629421
79258	49232	MMEL1	9606	NC_000001.9	+	2511940	2554288
79363	0	C1orf89	9606	NC_000001.9	+	16430781	16436032
79368	0	FCRL2	9606	NC_000001.9	+	155982149	156013532
79469	0	DLEU2L	9606	NC_000001.9	+	63787238	63788894
79501	49463	OR4F5	9606	NC_000001.9	+	58953	59870
79504	0	OR4G4P	9606	NC_000001.9	+	42314	43257
79570	0	FAM77C	9606	NC_000001.9	+	31425179	31433586
79573	52170	TTC13	9606	NC_000001.9	+	229108612	229181206
79574	51599	EPS8L3	9606	NC_000001.9	+	110094224	110108086
79577	0	CDC73	9606	NC_000001.9	+	191357783	191487678
79590	51743	MRPL24	9606	NC_000001.9	+	154973717	154977546
79594	0	C1orf166	9606	NC_000001.9	+	20698529	20707240
79605	0	PGBD5	9606	NC_000001.9	+	228524014	228579989
79626	50485	TNFAIP8L2	9606	NC_000001.9	+	149395754	149398848
79630	0	C1orf54	9606	NC_000001.9	+	148511821	148519950
79639	0	TMEM53	9606	NC_000001.9	+	44892087	44912685
79647	0	C1orf108	9606	NC_000001.9	+	39229503	39243565
79654	0	HECTD3	9606	NC_000001.9	+	45240800	45249386
79656	0	C1orf165	9606	NC_000001.9	+	48966128	49015089
79679	0	VTCN1	9606	NC_000001.9	+	117487736	117555069
79693	0	YRDC	9606	NC_000001.9	+	38041200	38046451
79699	52973	ZYG11B	9606	NC_000001.9	+	52964768	53063912
79707	0	NOL9	9606	NC_000001.9	+	6507791	6537167
79717	0	PPCS	9606	NC_000001.9	+	42694816	42698671
79727	0	LIN28	9606	NC_000001.9	+	26609855	26628805
79729	0	C1orf113	9606	NC_000001.9	+	36545304	36563073
79739	0	TTLL7	9606	NC_000001.9	+	84107644	84237420
79753	0	SNIP1	9606	NC_000001.9	+	37774728	37792489
79762	0	C1orf115	9606	NC_000001.9	+	218930284	218939117
79802	0	KIAA1822L	9606	NC_000001.9	+	220762294	220788066
79805	50586	VASH2	9606	NC_000001.9	+	211190599	211230874
79814	0	AGMAT	9606	NC_000001.9	+	15771738	15784191
79819	0	WDR78	9606	NC_000001.9	+	67051155	67163157
79830	0	ZMYM1	9606	NC_000001.9	+	35317576	35354046
79854	0	FLJ22639	9606	NC_000001.9	+	751448	752748
79862	49788	ZNF669	9606	NC_000001.9	+	245329915	245334250
79871	0	C1orf82	9606	NC_000001.9	+	92537192	92626316
79894	49788	ZNF672	9606	NC_000001.9	+	247099152	247110336
79906	0	MORN1	9606	NC_000001.9	+	2242555	2312852
79927	0	GRRP1	9606	NC_000001.9	+	26358097	26361704
79932	50557	KIAA0319L	9606	NC_000001.9	+	35671677	35795590
79947	52712	DHDDS	9606	NC_000001.9	+	26631388	26670383
79957	0	PAQR6	9606	NC_000001.9	+	154479830	154484466
79961	0	DENND2D	9606	NC_000001.9	+	111531323	111544803
79971	52186	GPR177	9606	NC_000001.9	+	68336738	68470840
80003	52323	PCNXL2	9606	NC_000001.9	+	231186504	231461714
80045	0	GPR157	9606	NC_000001.9	+	9087062	9111815
80128	52757	TRIM46	9606	NC_000001.9	+	153412983	153424068
80133	0	C1orf129	9606	NC_000001.9	+	169171294	169234570
80135	0	BXDC5	9606	NC_000001.9	+	84717545	84735951
80143	51034	SIKE	9606	NC_000001.9	+	115116918	115124820
80149	0	ZC3H12A	9606	NC_000001.9	+	37712739	37722564
80176	51174	SPSB1	9606	NC_000001.9	+	9275570	9352177
80222	51526	TARS2	9606	NC_000001.9	+	148726543	148746379
80232	0	WDR26	9606	NC_000001.9	+	222639814	222688334
80263	0	TRIM45	9606	NC_000001.9	+	117455209	117465933
80267	0	EDEM3	9606	NC_000001.9	+	182926259	182990326
80308	52609	FLAD1	9606	NC_000001.9	+	153222440	153232210
80342	0	TRAF3IP3	9606	NC_000001.9	+	207996146	208022287
80701	0	AKR1D1P	9606	NC_000001.9	+	165755399	165756446
80713	0	MTIF2P1	9606	NC_000001.9	+	120945666	120947252
80772	0	MGC10334	9606	NC_000001.9	+	1250005	1254138
80818	49788	ZNF436	9606	NC_000001.9	+	23559054	23567465
80834	52071	TAS1R2	9606	NC_000001.9	+	19038679	19058741
80835	52071	TAS1R1	9606	NC_000001.9	+	6538020	6562403
80851	0	SH3BP5L	9606	NC_000001.9	+	247071273	247086776
80896	0	NPL	9606	NC_000001.9	+	181028016	181065210
81025	0	GJA10	9606	NC_000001.9	+	39112325	39119875
81439	0	OR9H1P	9606	NC_000001.9	+	246004834	246005757
81440	0	OR6R1P	9606	NC_000001.9	+	246063241	246064169
81442	49463	OR6N2	9606	NC_000001.9	+	157013095	157014048
81448	49463	OR6K2	9606	NC_000001.9	+	156936091	156937065
81449	0	OR6K1P	9606	NC_000001.9	+	156930952	156931922
81458	0	OR2T7	9606	NC_000001.9	+	246671130	246672053
81462	0	OR2L9P	9606	NC_000001.9	+	246204666	246205599
81465	0	OR2L6P	9606	NC_000001.9	+	246233055	246233990
81466	0	OR2L5	9606	NC_000001.9	+	246251872	246252807
81469	49463	OR2G3	9606	NC_000001.9	+	245835510	245836439
81470	49463	OR2G2	9606	NC_000001.9	+	245818284	245819237
81472	49463	OR2C3	9606	NC_000001.9	+	245760056	245763763
81473	0	OR2AS1P	9606	NC_000001.9	+	246779345	246779826
81474	0	OR2AQ1P	9606	NC_000001.9	+	157032410	157032650
81479	0	OR11I1P	9606	NC_000001.9	+	111198243	111199186
81486	0	OR10AE1P	9606	NC_000001.9	+	157818036	157818633
81487	0	OR10AA1P	9606	NC_000001.9	+	157044815	157045748
81493	0	SYNC1	9606	NC_000001.9	+	32918547	32933459
81494	0	CFHR5	9606	NC_000001.9	+	195213326	195245428
81559	49794	TRIM11	9606	NC_000001.9	+	226647999	226661139
81563	0	C1orf21	9606	NC_000001.9	+	182622772	182864777
81569	49024	ACTL8	9606	NC_000001.9	+	17954430	18026144
81573	0	ANKRD13C	9606	NC_000001.9	+	70500128	70592992
81607	0	PVRL4	9606	NC_000001.9	+	159308119	159325965
81609	0	SNX27	9606	NC_000001.9	+	149851285	149938182
81611	0	ANP32E	9606	NC_000001.9	+	148457478	148475081
81626	0	C1orf14	9606	NC_000001.9	+	181135622	181189175
81627	0	C1orf25	9606	NC_000001.9	+	183353855	183392705
81629	51122	TSSK3	9606	NC_000001.9	+	32600448	32602512
81669	0	CCNL2	9606	NC_000001.9	+	1310953	1324552
81788	50566	NUAK2	9606	NC_000001.9	+	203537813	203557505
81839	51577	VANGL1	9606	NC_000001.9	+	115986096	116042367
81849	0	ST6GALNAC5	9606	NC_000001.9	+	77105773	77302324
81875	0	ISG20L2	9606	NC_000001.9	+	154959036	154964328
81888	0	HYI	9606	NC_000001.9	+	43689415	43702548
83416	0	FCRL5	9606	NC_000001.9	+	155749790	155788933
83417	0	FCRL4	9606	NC_000001.9	+	155810162	155834493
83442	49668	SH3BGRL3	9606	NC_000001.9	+	26479030	26480599
83479	51093	DDX59	9606	NC_000001.9	+	198859646	198905748
83540	51101	NUF2	9606	NC_000001.9	+	161558348	161592171
83593	51104	RASSF5	9606	NC_000001.9	+	204747501	204829229
83667	50508	SESN2	9606	NC_000001.9	+	28458592	28481588
83715	0	ESPN	9606	NC_000001.9	+	6407434	6443575
83756	0	TAS1R3	9606	NC_000001.9	+	1256588	1259706
83858	52616	ATAD3B	9606	NC_000001.9	+	1397026	1421444
83872	0	HMCN1	9606	NC_000001.9	+	183970305	184426701
83873	0	GPR61	9606	NC_000001.9	+	109884031	109889980
83881	0	MIXL1	9606	NC_000001.9	+	224478005	224480135
83931	0	STK40	9606	NC_000001.9	+	36577811	36624071
83932	0	C1orf124	9606	NC_000001.9	+	229540304	229556611
83941	0	TM2D1	9606	NC_000001.9	+	61919306	61963682
83953	0	FCAMR	9606	NC_000001.9	+	205197976	205210116
83998	49475	REG4	9606	NC_000001.9	+	120138230	120155725
84033	0	OBSCN	9606	NC_000001.9	+	226462483	226615573
84065	0	C1orf160	9606	NC_000001.9	+	27521308	27535477
84066	0	C1orf49	9606	NC_000001.9	+	176748832	176758406
84069	0	PLEKHN1	9606	NC_000001.9	+	891739	900350
84072	0	HORMAD1	9606	NC_000001.9	+	148937165	148959975
84134	0	TOMM40L	9606	NC_000001.9	+	159462456	159467031
84144	54016	SYDE2	9606	NC_000001.9	+	85396972	85439857
84146	52569	ZNF644	9606	NC_000001.9	+	91153442	91260258
84196	0	USP48	9606	NC_000001.9	+	21877377	21982274
84217	0	ZMYND12	9606	NC_000001.9	+	42668680	42694513
84224	51147	NBPF3	9606	NC_000001.9	+	21639217	21683979
84227	0	RGSL2	9606	NC_000001.9	+	180685914	180724505
84230	51495	LRRC8C	9606	NC_000001.9	+	89871349	89953168
84243	52699	ZDHHC18	9606	NC_000001.9	+	27025787	27054794
84251	0	SGIP1	9606	NC_000001.9	+	66772552	66983355
84265	0	POLR3GL	9606	NC_000001.9	+	144167592	144181743
84275	50695	SLC25A33	9606	NC_000001.9	+	9522114	9565417
84283	0	TMEM79	9606	NC_000001.9	+	154519362	154528822
84284	0	C1orf57	9606	NC_000001.9	+	231152992	231180841
84288	49124	EFCAB2	9606	NC_000001.9	+	243200314	243317760
84301	52788	DDI2	9606	NC_000001.9	+	15816656	15859334
84320	0	ACBD6	9606	NC_000001.9	+	178523987	178738101
84328	0	LZIC	9606	NC_000001.9	+	9912362	9925412
84432	51154	PROK1	9606	NC_000001.9	+	110795310	110801498
84451	51894	KIAA1804	9606	NC_000001.9	+	231530136	231586373
84455	0	KIAA1799	9606	NC_000001.9	+	63761855	63810951
84614	0	ZBTB37	9606	NC_000001.9	+	172104154	172109403
84618	0	NT5C1A	9606	NC_000001.9	+	39897379	39910296
84648	0	LCE3D	9606	NC_000001.9	+	150818483	150819603
84676	51510	TRIM63	9606	NC_000001.9	+	26250384	26266707
84719	0	MGC5457	9606	NC_000001.9	+	201966333	201967614
84722	0	PSRC1	9606	NC_000001.9	+	109623700	109627293
84734	0	C1orf90	9606	NC_000001.9	+	32485420	32487043
84791	0	C1orf97	9606	NC_000001.9	+	209622783	209672499
84808	52850	C1orf170	9606	NC_000001.9	+	900441	907359
84809	0	MGC12760	9606	NC_000001.9	+	16831364	16843799
84824	0	FCRLA	9606	NC_000001.9	+	159943385	159950765
84832	0	RP4-747L4.3	9606	NC_000001.9	+	166481424	166483562
